iter	Passed	Remaining
0	176	176035
1	193	96552
2	211	70216
3	228	56811
4	251	50131
5	271	45012
6	290	41219
7	309	38400
8	337	37185
9	360	35697
10	381	34327
11	399	32926
12	418	31771
13	438	30881
14	459	30152
15	476	29328
16	494	28576
17	515	28142
18	537	27777
19	559	27402
20	583	27199
21	605	26929
22	630	26784
23	648	26385
24	667	26050
25	689	25826
26	707	25497
27	726	25211
28	747	25033
29	767	24814
30	786	24597
31	808	24472
32	832	24391
33	855	24318
34	877	24184
35	898	24059
36	920	23956
37	944	23913
38	970	23908
39	999	23984
40	1023	23942
41	1053	24020
42	1078	24011
43	1099	23882
44	1118	23734
45	1137	23582
46	1158	23489
47	1178	23382
48	1201	23323
49	1222	23225
50	1257	23405
51	1279	23325
52	1298	23196
53	1316	23061
54	1337	22981
55	1355	22856
56	1376	22775
57	1398	22715
58	1420	22659
59	1440	22568
60	1460	22486
61	1482	22427
62	1502	22343
63	1521	22251
64	1542	22181
65	1560	22087
66	1582	22042
67	1602	21964
68	1627	21953
69	1656	22005
70	1680	21986
71	1702	21948
72	1726	21926
73	1750	21901
74	1775	21897
75	1799	21873
76	1822	21846
77	1841	21765
78	1864	21735
79	1891	21754
80	1912	21701
81	1935	21666
82	1959	21643
83	1979	21586
84	2007	21608
85	2028	21554
86	2057	21587
87	2080	21556
88	2100	21502
89	2126	21500
90	2182	21799
91	2213	21848
92	2247	21919
93	2273	21914
94	2295	21868
95	2316	21812
96	2333	21727
97	2351	21647
98	2372	21595
99	2391	21524
100	2411	21461
101	2432	21419
102	2450	21342
103	2471	21292
104	2494	21262
105	2515	21212
106	2538	21182
107	2561	21159
108	2600	21258
109	2620	21202
110	2642	21166
111	2662	21109
112	2686	21086
113	2711	21071
114	2733	21037
115	2755	20996
116	2774	20941
117	2796	20899
118	2815	20843
119	2834	20789
120	2852	20722
121	2874	20688
122	2895	20647
123	2928	20690
124	2951	20663
125	2970	20602
126	2990	20556
127	3008	20494
128	3025	20430
129	3045	20383
130	3069	20360
131	3089	20316
132	3114	20301
133	3145	20331
134	3163	20270
135	3180	20206
136	3199	20154
137	3221	20123
138	3246	20109
139	3270	20091
140	3292	20060
141	3313	20022
142	3335	19986
143	3355	19944
144	3374	19899
145	3392	19844
146	3416	19826
147	3439	19799
148	3462	19775
149	3482	19732
150	3503	19698
151	3541	19758
152	3563	19729
153	3585	19699
154	3609	19676
155	3632	19653
156	3652	19612
157	3673	19576
158	3697	19555
159	3718	19524
160	3740	19494
161	3759	19446
162	3783	19428
163	3801	19379
164	3823	19349
165	3847	19328
166	3867	19289
167	3889	19262
168	3915	19252
169	3936	19221
170	3960	19200
171	3983	19178
172	4013	19186
173	4036	19163
174	4063	19156
175	4088	19139
176	4114	19131
177	4141	19123
178	4162	19093
179	4182	19054
180	4205	19029
181	4229	19010
182	4253	18991
183	4275	18959
184	4295	18923
185	4315	18887
186	4337	18855
187	4361	18839
188	4385	18820
189	4405	18781
190	4431	18770
191	4453	18740
192	4471	18695
193	4487	18645
194	4505	18601
195	4522	18551
196	4538	18499
197	4560	18472
198	4579	18434
199	4599	18396
200	4619	18361
201	4635	18313
202	4655	18276
203	4670	18225
204	4687	18176
205	4705	18134
206	4726	18106
207	4745	18069
208	4767	18043
209	4791	18025
210	4815	18006
211	4837	17980
212	4853	17934
213	4869	17885
214	4890	17855
215	4910	17823
216	4928	17783
217	4947	17747
218	4964	17706
219	4983	17667
220	5004	17641
221	5023	17605
222	5040	17562
223	5058	17522
224	5076	17487
225	5099	17464
226	5119	17433
227	5142	17411
228	5162	17380
229	5184	17355
230	5207	17336
231	5225	17297
232	5243	17260
233	5272	17260
234	5293	17230
235	5312	17196
236	5329	17159
237	5354	17143
238	5373	17110
239	5393	17080
240	5416	17057
241	5437	17030
242	5456	16997
243	5475	16966
244	5493	16929
245	5514	16903
246	5548	16913
247	5566	16879
248	5587	16853
249	5621	16863
250	5639	16829
251	5660	16802
252	5686	16790
253	5712	16777
254	5730	16740
255	5760	16740
256	5779	16708
257	5806	16698
258	5831	16684
259	5855	16665
260	5876	16637
261	5894	16604
262	5913	16570
263	5934	16544
264	5952	16508
265	5975	16487
266	5995	16460
267	6011	16418
268	6030	16389
269	6046	16348
270	6064	16314
271	6084	16285
272	6117	16291
273	6137	16262
274	6155	16228
275	6175	16199
276	6197	16176
277	6229	16178
278	6248	16147
279	6267	16117
280	6285	16084
281	6303	16048
282	6322	16018
283	6341	15988
284	6358	15952
285	6375	15917
286	6393	15883
287	6413	15855
288	6432	15824
289	6450	15793
290	6470	15763
291	6493	15744
292	6511	15711
293	6533	15690
294	6554	15663
295	6575	15638
296	6594	15608
297	6617	15587
298	6639	15566
299	6658	15536
300	6688	15532
301	6712	15513
302	6735	15494
